,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
1311,79,12,השיב שכן שבע אל חיק חרפה אשר חרפוך אדני,αποδος ὁ γείτων εἶμι επταπλασίων ἐίω τίνω κολπός αὐτός τίνω ονειδισμός αὐτός ος ωνειδίζω σύ κυρίω,et reddo vicinus noster septupleo in sinus is inproperium ipse quod exprobravo tu dominus,et reddo vicinus noster septupleo in sinus is obprobrium suus qui exprobravo tu dominus
1312,79,13,אני עם צאן מרעיתך הודה לו לעולם דר דר סיפר תהילה,εἶμι δέω λαός σύ καίω προβαίνω ὁ νομεύς σύ ἀνθομολογέομαι σύ ἐίω τίνω αιών ἐίω γενεά καίω γενεά ἐξαγγέλλω τημ αἰμί σύ,nos autem populus tuus et ovis pascuus tuus confiteor tu in saeculum in generatio et generatio adnuntio laus tuus,nos enim populus tuus et grex pascuus tuus confiteor tu in sempiternus in generatio et generatio narro laus tuus
1313,80,1,מנצח אל שניים עדות אסף מזמור,ἐίω τῷς τέλομαι ὀπέρω τίνω αλλοιόω μαρτυριος τίω ἵημι ψαλμος ὀπέρω τις ασσύριος,in finis pro hic qui commuto testimonium asaph psalmus,victor pro lilium testimonium asaph canticus
1314,80,2,רעה ישראל האזין נהג צאן יוסף ישב כרוב הופיע,ὁ ποιμαίνω τίνω ισραηλ πρόσχω ὁ οἰδα ὠθέω προβαίνω τίνω Μωσή ὁ κάθημαι ἕπομαι τίνω χερουβία ἐμφαίνω,qui rex israhel intendo qui deduco tamquam ovis ioseph qui sedes super cherub manifesto,qui pasco israhel ausculo qui dux quasi grex ioseph qui sedes super cherub ostendo
1315,80,3,לפני אפרים ובנימן מנשה עורר את גבור מה לישעתה לי,εναντιος εὑρίσκω καίω βιάω καίω μανασση ἐνεγείρω τημ δυναστεία σύ καίω ἔρχομαι ἐίω τῷς σώζω ημας,coram effrum et beniam et manassa excito potentia tuus et veno ut salvus facio nos,ante efraio et beniam et manassa suscituo fortitudo tuus et veno ut salvus facio nos
1316,80,4,אלוהים השיב האיר פנים ונושעה,ὁ θεος επιστρέφω ημας καίω επιφανος τῷς προσόπτω σύ καίω σώζω,deus convo nos et ostendo facies tuus et salvus sum,deus convo nos et ostendo facies tuus et salvus sum
1317,80,5,יהוה אלוהים צבא עד מתי עשנת תפילה עם,κυρίω ὁ θεος τίνω δύναμις ἐάω ποτέ οργιζη ἕπομαι τημ προσέχω τις δουλόω σύ,dominus deus virtus quousque irascor super oratio servus tuus,dominus deus exercitus usqueqo fumor ad oratio populus tuus
1318,80,6,האכיל לחם דמעה ותשקמו דמעה שליש,ψωμίζω ημας ἥρτος δακρύω καίω ποτίζω ημας εἶμι δάκρυμαι εἶμι μέτρομαι,cibo nos panis lacrima et potus do nos in lacrima in mensura,cibo nos panis flebilis et poto nos in lacrima tripliciter
1319,80,7,הצמיד מדון שכן איבה ילעגו למו,ἕθομαι ημας ἐίω αντιλογιά ὁ γείτων εἶμι καίω οἶδα εχθρός εἶμι εμυκτηρισός ημας,pono nos in contradictio vicinus noster et inimicus noster subsanno nos,pono nos contentio vicinus noster et inimicus noster subsanno nos
1320,80,8,אלוהים צבא השיב האיר פנים ונושעה,κυρίω ὁ θεος τίνω δύναμις επιστρέφω ημας καίω επιφανος τῷς προσόπτω σύ καίω σώζω διαψάλλω,deus virtus convo nos et ostendo facies tuus et salvus sum,deus exercitus convo nos et ostendo facies tuus et salvus sum
1321,80,9,גפן מצרים הסיע גירש גוי ותטעה,αμπελός ἐκ αἰγύπτω μέτερα εἰβάλλω ἵημι καίω καταφυτεύω ἑαυτοῦ,vinea de aegyptus transtulio eio gens et planto is,vinea de aegyptus tuleo eio gens et planto is
1322,80,10,פנה לפני שירש שורש נמלא ארץ,ωδοποιέω ἕρπω αυτός καίω καταφυτεύω ὁ ριζας αυτός καίω ἕλλω ἠμί γαίνω,dux iter sum in conspectus is et planto radix is et impleo terra,praeparo ante facies is et stabilio radix is et impleo terra
1323,80,11,כס הר צל ענף ארז אל,καλύπτω ὁράω ἠμί σκίω αυτός καίω ἵημι αναδενδραδής αυτός ὁ κεδρός τις θέω,operio mons umbrum is et arbustus is cedrum deus,opersus sum mons umbrum is et ramus ille cedrum deus
1324,80,12,תשלח קצירה עד ים אל נהר יונק,ἑεξένω τῷ κλῆμα αυτός ἐάω θάλασσα καίω ἐάω ποταμός ὁ παραφεύδω αυτός,extendo palmis suus usque ad mare et usque ad flumen propago is,expando coma suus usque ad mare et usque ad flumen germina suus
1325,80,13,למה פרצה גדר וארו כל עבר דרך,ἐνάω τις καθαιρέω τίνω φραγμον αυτός καίω τρύγω ἑαυτοῦ παντάω οἶδα παραπορεύομαι τημ οἶδα,ut quis destruo maceria is et vindemio is omnis qui praetergredior via,quare dissipo maceria is et vindemiavio is omnis qui transeo per via
1326,80,14,יכרסמנה חזיר יער וזיז די הרעיל,λυμαίνομαι ἑαυτοῦ σύνω ἵημι δρύω καίω μονιος αγριος κατανεμέομαι ἑαυτοῦ,extermino is aper de sileum et singularis ferus depaso sum is,vasto is aper de sileum et omnis bestia ager depasqo sum is
1327,80,15,אלוהים צבא שוב נא הביט שמיים ראה פקד גפן זה,ὁ θεος τίνω δύναμις επιστρέφω δέω ἑπιβλέπω ἐκ οὐρανός καίω εἶδον καίω επίσκω τημ αμπελός οὗτος,deus virtus converto respicio de caelum et video et video vinea iste,deus exercitus reverto obsecro respicio de caelum et video et video vinea hic
1328,80,16,כן אשר נטע ימין על בן אמצתה לך,καίω καταρτίζω ἑαυτοῦ ἠμί εφυτεύω ἠμί δέχομαι σύ καίω ἕπομαι υιός ἄνθρωπος ος εκραταιών σεάω,et perficio is quam planto dexter tuus et super filius qui confirmo tu,et radix quam planto dexter tuus et filius qui confirmo tu
1329,80,17,שרפה אש כסוחה מגערת פנים איבד,εμπυρίζω πύρω καίω ἀνίσκημι ἕπομαι επιτιμέσης τις προσόπτω σύ απολουνάω,incensus ignis et suffondo ab increpatio vultus tuus pereo,succendo ignis et deramo ab increpatio facies tuus pereo
1330,80,18,היי יד על איש ימין על בן אדם אמצת לו,γενηθης ἠμί χείρω σύ εἶπον αἱνέρω δεξιός σύ καίω ἕπομαι υιός ἄνθρωπος ος εκραταιών σεάω,fio manus tuus super virus dexter tuus et super filius homo qui confirmo tu,fio manus tuus super virus dexter tuus et super filius homo qui confirmo tu
1331,80,19,לא נסוג מן תחייה שם נקרא,καίω οὐδόω μή αποστόω ἕπομαι σύ ζώω ημας καίω τῷς οἰνόω σύ ἑπικαλέω,et non discedo ab tu vivifico nos et nomen tuus invoco,et non recedo ab tu vivifico nos et nomen tuus vocoro
1332,80,20,יהוה אלוהים צבא השיב האיר פנים ונושעה,κυρίω ὁ θεος τίνω δύναμις επιστρέφω ημας καίω επιφανος τῷς προσόπτω σύ καίω σώζω,dominus deus virtus convo nos et ostendo facies tuus et salvus sum,dominus deus exercitus convo nos et ostendo facies tuus et salvus sum
1333,81,1,מנצח על הגתית אסף,ἐίω τῷς τέλομαι ὀπέρω τίνω λήνη τίω ἵημι ψαλμος,in finis pro torcularis asaph,victor in torcularis asaph
1334,81,2,הרנינו אלוהים עוז הריע אלוהים יעקב,αγαλλίσκω τίω θέω τίω βοηθέω εἶμι αλαλάσσω τίω θέω ἱκνέομαι,exsulto deus adiutor noster iubilo deus iacob,laudo deus fortitudo noster iubilo deus iacob
1335,81,3,הרים זמרה נתן תף כינור נעים עם נבל,λαμβάνω ψαλμός καίω δοτέω τυμπανός ψαλτηριος τερπύς μεθίημι κιθάρας,sumo psalmus et do tympanus psalterium iucundus cum citharus,adsumite carmen et do tympanus cithara decora cum psalterium
1336,81,4,תקעו חדש שופר שמיטה יום חג,σαλπίζω εἶμι νεομηνια σαλπίγξ εἶμι οὐσαίομαι εἴμω εορτή εἶμι,bucino in neomenium tuba in insignus dies sollemnitas noster,clango in neomenium bucenum et in medius mensis dies sollemnitas noster
1337,81,5,כי חוק ישראל הוא משפט אלוהים יעקב,οἴομαι προστάγω τίω ισραηλ εἰσίζω καίω κρίπτω τίω θέω ἱκνέομαι,quia praeceptum israhel sum et iudicium deus iacob,quia legiuimus israhel sum et iudicium deus iacob
1338,81,6,עדות ביהוסף שם יוצא על ארץ מצרים שפה לא ידע נשמע,μαρτυριος εἶμι τίω Μωσή ἵθομαι αυτον εἶμι τίω ἔρχομαι αυτον ἵημι γης αἰγύπτω γλωσσα ἠμί οὐκέω εγνός ἥκω,testimonium in ioseph pono ille cum exeo de terra aegyptus lingua quam non novo audio,testimonium in ioseph pono cum egredior terra aegyptus labius quod nescio audio
1339,81,7,הסירות סבל כמו כף דוד תעברנה,ἀφίστημι ἕπομαι ἄρσης τίνω νωτός αὐτάω ἵημι χείρ αὐτάω εἶμι τίω κοφίνω εδουλεύω,deverto ab onus dorsus is manus is in cofino serdio,amo ab onus umerum is manus is ab cofino recedo
1340,81,8,צר קרא ואחלצך ניחם סתר רעם חינך על מים מריבה סלה,εἶμι θλίπτω εποκαλέω ἐγώ καίω ἐρύω σύ εἰπόκουδα σύ εἶμι αποκρυφω καταιγίς οἰδοκίζω σύ ἕπομαι υδατος αντιλογιαί διαψάλλω,in tribulatio invoco ego et libero tu exaudio tu in abscondo tempestas probo tu apud aqua contradictio diapsalmus,in tribulatio invoco et eruo tu exaudio tu in abscondo tonitruum probo tu super aqua contradictio semper
1341,81,9,שמע עם השפיל בך ישראל אם שמע לי,ἀκούω λαός ἐγώ καίω διαμαρτύρω σύ ισραηλ εἶμι ακοῦσαι ἐγώ,audio populus meus et contestor tu israhel si audio ego,audio populus meus et contestor tu israhel si audio ego
1342,81,10,לא היי בך אל זר לא תשתחוה אל נכר,οὐκέω ἵστημι εἶμι σύ θεος προσφατος οὐδόω προσκυνέω θέω αλλοτρίζω,non sum in tu deus recens nec adoro deus alienus,non sum in tu deus alienus et non adoro deus peregrinus
1343,81,11,אני יהוה אלוהים המעלך ארץ מצרים הרחיב פה הכיל,εγω γαίρω ειμι κυριος ὁ θεος σύ ὁ αναγάγων σύ ἵημι γης αἰγύπτω πλατυνος τῷς στόμνω σύ καίω πληρόω αὐτάω,ego enim sum dominus deus tuus qui edo tu de terra aegyptus dilatus os tuus et implebo ille,ego sum dominus deus tuus qui edo tu de terra aegyptus dilatus os tuus et implebo ille
1344,81,12,לא שמע עם קול ישראל לא אבה לי,καίω οὐκέω ἥκω ὁ λαός ἐγώ ὁ φωνή ἐγώ καίω ισραηλ οὐδόω πρόσχω ἐγώ,et non audio populus meus vocus meus et israhel non intendo ego,et non audio populus meus vocus meus et israhel non credo ego
1345,81,13,ואשלחהו שרירות לב הלך מועצה,καίω εξαπεστέλλω αὐτός κάθημαι τῷ επιτηδέω τίνω καρδίον αὐτός πορεύω εἶμι ὁ επιτηδεύμαι αὐτός,et dimitto ille secundum desiderium cor is eo in adinventio suus,et dimitto is in pravitas cor sui ambulo in consilium suus
1346,81,14,לו עם שמע לי ישראל דרך הילך,εἶμι ὁ λαός ἐγώ ἥκω ἐγώ ισραηλ ὁ οδός ἐγώ εἶμι επορεύω,si populus meus audio ego israhel si in via meus ambulo,utor populus meus audio ego israhel in via meus ambulo
1347,81,15,כמעט אויב הכניע על צר השיב יד,εἶμι τίω μηδέω ἄἱς του εχθρός αὐτός ἑταπεινόω καίω ἕπομαι του θλιβόντης αὐτός ἐπιβάλλω τημ χείρ ἐγώ,pro nihil forsitan inimicus is humilio et super tribulo is mitto manus meus,quasi nihil inimicus is humilio et super hoss is vertior manus meus
1348,81,16,שונא יהוה הכחיש לו היי עת לעולם,οἶδα εχθρός κύριος εψεύδω αὐτάω καίω ἵστημι ὁ καιρος αὐτός ἐίω τίνω αιών,inimicus dominus mentior sum is et sum tempus is in saeculum,qui oderor dominus nego is et sum tempus is in saeculum
1349,81,17,האכיל חלב חטה מצור דבש ניחם,καίω εψωμίζω αὐτός ἵημι στεατος πύρω καίω ἵημι πετρός μέλω ἐχορτάω αὐτός,et cibaho ille ex adipus frumentum et de petra mellis saturo ille,et cibaho is de adipus frumentum et de petra mellus saturo is
1350,82,1,מזמור אסף אלוהים ניצב משואה אל בקרב אלוהים שפט,ψαλμος τίω ἵημι ὁ θεος ἵστημι εἶμι συνάγω θεός εἶμι μέσω δέω θεός διακρίνω,psalmus asaph deus sisto in synagoga deus in medius autem deus deiudico,canticus asaph deus sisto in coetus deus in medius deus iudico
1351,82,2,עד מתי תשפטו עול פנים רשע נשא סלה,ἐάω ποτέ κρίνω αδικῖος καίω προσόπτω αμάρτωλος λαμβάνω διαψάλλω,usqueqo iudico iniquitas et facio peccatum sumo diapsalmus,usqueqo iudico iniquitas et facio impius suscipio semper
1352,82,3,שפט דל יתום עני ורש הצדיק,κρίνω ορφανός καίω πτώκω ταπεινός καίω φαίνω δικαιόω,iudico egenum et pupillum humilis et pauper iustifico,iudico pauper et pupillus egenio et inopo iuste facio
1353,82,4,פלט דל אביון יד רשע הציל,ἐέλλομαι φαίνω καίω πτώκω ἵημι χειρος αμάρτωλος ρύω,eripio pauper et egenum de manus peccator libero,salvo inops et pauper de manus impius libero
1354,82,5,לא ידע לא הבין חשכה התהלך ימוטו כל מוסד ארץ,οὐκέω ἀγνόω οὐδόω συνίημι εἶμι σκοτέω διαπορεύω σαλεύω παντάω τῷ θέμελιον ὁ γης,nescio neque intellego in tenebra ambulo moveo omnis fundamentum terra,non cognosco nec intellego in tenebra ambulo moveo omnis fundamentum terra
1355,82,6,אני הגיד אלוהים אני בן עליון כול,εγω εἶπον θεός ἵστημι καίω υἱός εὔψομαι παντάω,ego dico deus sum et filius excello omnis,ego dico deus sum et filius excello omnis ves
1356,82,7,אכן אדם תמותון אחד שר תפלו,εὑμί δέω οἰδα ἄνθρωπος ἀποθνήσκω καίω οἰδα ἐίω τίνω αρχοντός πίπτω,ves autem sicut homo morior et sicut unus de principis cado,ergo quasi adam morior et quasi unus de principis cado
1357,82,8,קומה אלוהים שפט ארץ כי אני תנחל כל הגוים,αἰνέω ὁ θεος κρίνω τημ γαίνω οἴομαι σύω κατακληρόνομαι εἶμι πανέω ὁ εἶμι,surgo deus iudo terra quoniam tu hereditor in omnis gens,surgo dominus iudo terra quoniam hereditor omnis gens
1358,83,1,שיר מזמור אסף,οἶδα ψάλμος τίω ἵημι,canticus psalmus asaph,canticus psalmus asaph
1359,83,2,אלוהים אל דם לך אל תחרש אל שיקר אל,ὁ θεος τις ομοιωδέω σύ μή σιγήσης μηδέομαι καταπραυνής ὁ θεος,deus quis similis sum tu ne taceo neque conpescaris deus,deus ne taceo ne silio et non quiesco deus
1360,83,3,כי הן איב יהמיון שונא נשא ראש,οἴομαι εἶδον οἶδα εχθρός σύ ἥχω καίω οἶδα μισέω σύ αἴρω κεφαλή,quoniam ecce inimicus tuus sonavo et qui oderor tu extelio caput,quia ecce inimicus tuus tumulto sum et qui oderor tu levavo caput
1361,83,4,על עם הערים סוד התייעץ על צפון,ἕπομαι τίνω λαός σύ καταπανουργέω γνωμός καίω εβουλεύω κάθημαι τίνω ἄγιος σύ,super populus tuus maligno consilium et cogito advisceo sanctus tuus,contra populus tuus nequam tractacio et iniero consilium adverdo arcanum tuus
1362,83,5,אמר לכו ונכחידם גוי לא נזכר שם ישראל עוד,εἶπον δεύω καίω ἐξολεθρεύω αὐτός ἐκ εἶνον καίω οὐδόω μή μιμνήσκω τῷς οἰνόω ισραηλ εἶμι,dico vigno et disperdo is de gens et non memoro nomen israhel ultra,dico vigno et contero is de gens et non sum memoria nomen israhel ultra
1363,83,6,כי נועץ לב יחדיו על ברית נכרת,οἴομαι εβουλεύω εἶμι ὄμονος ἕπομαι τῷς αὐτάω κάθημαι σύ διαθηκή διατίθημι,quoniam cogito unionimo simul adverdo tu testamentum dispono,quoniam tractacio pariter contra tu foedus pepigo
1364,83,7,אוהל אדום וישמעאלים מואב גר,τῷ σκήνω τίνω ιδουμαιόω καίω οἶδα ισμαηλιτής μωάω καίω οἶδα αγαρηνός,tabernacula idumeus et ismahelita moab et aggareo,tabernacula idumea et ismahelita moab et aggareo
1365,83,8,גבל ועמון עמלק פלשת עם ישב צור,γαλίσσω καίω ὅμμος καίω αμαλή καίω αλλοφυλός μεθίημι τίνω κατοικέω τύρω,gebal et ammon et amalech alienigenus cum habito tyrus,gebal et ammon et amalech palestina cum habitator tyrus
1366,83,9,גם אשור נלווה עם היי זרוע בן לוט סלה,καίω γαίρω καίω αἰσέω συμπαράζω μέτειμι αὐτός ἑγείνω ἐίω αντιλημψίς ὁ υἱός λων διαψάλλω,etenim assur vigo cum ille facio sum in adiutorium filius loth diapsalmus,sed et assur vigo cum is facio sum brachium filius loth semper
1367,83,10,עשה לו מדינה כסיסרא כיבה נחל קישון,ποιέω αὐτός οἰδα τῆ μανδάνω καίω τίω σισαρεύς οἰδα ὁ ἰάβω εἶμι τίω χειμαρρω κίζω,facio ille sicut madia et sisara sicut iabin in torreo cison,facio ille sicut madian et sisara sicut iabin in torreo cison
1368,83,11,נשמדו עין דאר היי דם אדמה,εἰωλεθρεύω εἶμι αἰνέω ἑγείνω ὠθέω κοπρος τῆ γαίνω,dispereo in endo facio sum ut stercus terra,contritus sum in aendo sum quasi sterquicinius terra
1369,83,12,שיתמו נדיב ערב וכזאב וכזבח וכצלמנע כל נסיכמו,τίθημι του ἄρχω αὐτός οἰδα τίνω ὁράω καίω ζέω καίω ζέβομαι καίω σαλμάω πᾶς του ἄρχω αὐτός,pono princeps is sicut oreb et zes et zebes et salmana omnis princeps is,pono dux is sicut oreb et zes et zebes et salmana omnis princeps is
1370,83,13,אשר אמר נראה לי את נאות אלוהים,οιτιςός εἶπον κληρονομέω εὔτος τῷς αγιαστηριον τις θέω,qui dico hereditas possideo sanctuarius deus,qui dico possideo nos pulchritudo deus
1371,83,14,אלוהים שיתמו גלגל קש לפני רוח,ὁ θεος ἐγώ τίθημι αὐτός οἰδα τροχός οἰδα καλαμή κάθημαι προσόπτω αἰμέμω,deus meus pono ille ut rota sicut stipula ante facies vens,deus meus pono is ut rota quasi stipula ante facies vens
1372,83,15,אש תבער יער וכלהבה תלהט הר,ὠθέω πύρω ὁ διαφλέγω δρύω οἰδα εἶμι φλάω κατακαύω ὁράω,sicut ignis qui conburo silva sicut flamma conburo mons,quomodo ignis conburo silva et sicut flamma devo mons
1373,83,16,כן תרדפם בסערך אורך תבהלם,ουτώς καταδιώκω αὐτός εἶμι τῆ καταγαγγίζω σύ καίω εἶμι τῆ ὁργέω σύ ταράσσω αὐτός,ita persequor ille in tempestas tuus et in ira tuus turba is,sic persequor is in tempestas tuus et in turbinus tuus conturba is
1374,83,17,מלא פנים קלון ביקש שם יהוה,πληρωσός τῷ προσόπτω αὐτός ατιμια καίω ζητέω τῷς οἰνόω σύ κυρίω,impleo facio ille ignominium et quaero nomen tuus dominus,impleo facio is ignominium et quaero nomen tuus dominus
1375,83,18,יבש נבהל עד עד ויחפרו אבד,αισχυνθητέω καίω ταραχθητώσ ἐίω τίνω αιών τις αιών καίω εντραπητώσ καίω ἀπόλλυμι,erubesco et confurbo in saeculum saeculum et confundo et pereo,confundo et confurbo usque in saeculum et erubesco et pereo
1376,83,19,הכיר כי אני שם יהוה לבד עליון על כול ארץ,καίω γιγνώσκω οἴομαι οἰνόω σύ κυριος σύω μόνος ἄψιστος ἕπομαι πατέω τημ γαίνω,et cognosco quia nomen tu dominus tu solus altus in omnis terra,et scio quia nomen tuus sum dominus solus tu excello super omnis terra
1377,84,1,מנצח על הגתית בן קורח מזמור,ἐίω τῷς τέλομαι ὀπέρω τίνω λήνη ὁ υἱός κόρνω ψαλμος,in finis pro torcularis filius cor psalmus,victor pro torculo filius cor canticus
1378,84,2,מה ידידות משכן יהוה צבא,οἰδα αγαπητός τῷ σκήνω σύ κυρίω τίνω δύναμις,quam diligo tabernacula tuus dominus virtus,quam diligo tabernacula tuus dominus exercitus
1379,84,3,נכסף גם כלה נפש חצר יהוה לב בשר ירננו אל אל חי,επιποθέω καίω εκλείπω ἠμί ψυχη ἐγώ ἐίω ὁ αυλή τις κύριος ἠμί καρδίνω ἐγώ καίω ἠμί σώρξω ἐγώ αγαλλίσσω ἕπομαι θεός ζάω,concupisco et deficio anima meus in atria dominus cor meus et caro meus exsulto in deus vivus,desidero et deficio anima meus in atria dominus cor meus et caro meus laudo deus vivens
1380,84,4,גם ציפור חיפש בית דרור קן לה אשר שתה אפר את מזבח יהוה צבא מלך אלוהים,καίω γαίρω στρουθιος εὑρίσκω εὐύω οικία καίω τρυγων νόσις οὐτάω οὐδόω τίθημι τῷ νοσσια αυτός τῷ θυσιαστηρία σύ κυρίω τίνω δύναμις ὁ βασιλεύς ἐγώ καίω ὁ θεος ἐγώ,etenim passer invenio sui domus et turo nidus sui ubi pono pullus suus altaria tuus dominus virtus rex meus et deus meus,siquidem avus invenio domus et passer nidus sui ubi pono pullus suus altaria tuus dominus exercitus rex meus et deus meus
1381,84,5,אשרי יושב בית עוד יהללוך סלה,μακαριός οἶδα κατοικέω εἶμι τίω οικω σύ ἐίω του αιών τίνω αιώνης αἰνέω σύ διαψάλλω,beatus qui habito in domus tuus in saeculum saeculum laudo tu diapsalmus,beatus qui habito in domus tuus adhuc laudo tu semper
1382,84,6,אשרי אדם עוז לו בי מסילה לבב,μακαριος αἰνέρω οὐδόω εἰσίζω ἠμί αντιλημψις αὐτάω πάρειμι σύ κυρίω αναβαίνω εἶμι τῆ καρδίνω αὐτάω διατίθημι,beatus vir qui sum auxilium auseo tu ascensio in cor suus dispono,beatus homo qui fortitudo sum in tu semita in cor is
1383,84,7,עבר עמק בכא עין ישיתוהו גם ברכה יעטה מורה,εἶμι τῆ κοιλάς τις κλαυθμών ἐίω τοπόω ος ἵθομαι καίω γαίρω ευλογιά δίδωμι ὁ νομόω,in vallia lacrima in locus qui pono etenim benedictio do lex dator,transeo in vallia fletus fons pono is benedictio quoque amicio doctor
1384,84,8,הלך חיל אל חיל נראה אל אלוהים ציון,πορεύω ἵημι δύναμις ἐίω δύναμαι οἰφίημι ὁ θεος τίνω θεός εἶμι σῖος,eo de virtus in virtus vido deus deus in sion,eo de fortitudo in fortitudo pareo apud deus in sion
1385,84,9,יהוה אלוהים צבא שמע תפילה האזין אלוהים יעקב סלה,κυρίω ὁ θεος τίνω δύναμις εισακούω ὁ προσευχή ἐγώ ενωτίζω ὁ θεος ἱκνέομαι διαψάλλω,dominus deus virtus exaudo oratio meus auris percipio deus iacob diapsalmus,dominus deus exercitus exaudo oratio meus ausculo deus iacob semper
1386,84,10,מבצר ראה אלוהים הביט פן משיח,υπερασπίστης εἶμι εἶδον ὁ θεος καίω ἑπιβλέπω ἕπομαι τῷς προσόπτω τις χρίζω σύ,protector noster aspicio deus et respicio in facies christus tuus,clipeus noster video deus et adtendo facies christus tuus
1387,84,11,כי טוב יום חצר אלף בחר הסתופף בית אלוהים מדור אוהל רשע,οἴομαι κρείνω εἴμω εἶμι εἶμι ὁ αυλαίς σύ ὀπέρω χιλιάς ἐελέγω παραρρίπτω εἶμι τίω οικω τις θέω μαλλός ἠμί οἰκέω εἶμι σκηνωμαί αμάρτωλος,quia bonus sum dies unus in atria tuus super milius eligo abiicio esse in domus deus meus magis quam habito in tabernaculum peccatum,quoniam bonus sum dies in atria tuus super milius eligo abiicio esse in domus deus meus magis quam habito in tabernaculum impietas
1388,84,12,כי שמש מגן יהוה אלוהים חן כבוד נתן יהוה לא נמנע טוב הוליך שלם,οἴομαι αἱρέω καίω αλήθεια ἄγαμαι κυριος ὁ θεος χαίρω καίω δοκέω δίδωμι κυριος οὐδόω στερέω τῷ ἄγνυμι του πορεύω εἶμι ακάκω,quia misericordia et veritas diligo deus gratia et gloria do dominus non privo bonum is qui ambulo in innocentia,quia sol et scutus dominus deus gratia et gloria do dominus nec prohibeo bonum ab hic qui ambulo in perfectio
1389,84,13,יהוה צבא אשרי אדם בטח בי,κυρίω τίνω δύναμις μακαριος ανθρώπος ὁ ελπίζω ἕπομαι σύ,dominus virtus beatus vir qui spero in tu,dominus exercitus beatus homo qui confideo in tu
1390,85,1,מנצח בן קורח מזמור,ἐίω τῷς τέλομαι ὁ υἱός κόρνω ψαλμος,in finis filius cor psalmus,victor filius cor canticus
1391,85,2,רצתה יהוה ארץ שבת בית יעקב,εὐδοκέω κυρίω τημ γαίνω σύ απεστρέφω τημ αιχμαλωσια ἱκνέομαι,benedibo dominus terra tuus avirto captivitas iacob,placo sum dominus terra tuus reduxo captivitas iacob
1392,85,3,נשא עון עם כסית כל חטאה סלה,ἀφίημι ὁ ανομιά τίω λανθάνω σύ εκωλύπτω πατέω ὁ αμαρτία αὐτός διαψάλλω,remitto iniquitas plebs tuus operio omnis peccatum is diapsalmus,dimitto iniquitas populus tuus operio omnis iniquitas is semper
1393,85,4,אספה כל עברה השיב חרון אף,καταπαύω πατέω τημ οργή σύ απεστρέφω ἕπομαι οργης θυμόω σύ,mitigo omnis ira tuus avirto ab ira indignatio tuus,contineo omnis indignatio tuus converdo sum ab ira furor tuus
1394,85,5,שוב אלוהים ישע הפר כעס עם,επιστρέφω ημας ὁ θεος τίνω σωτήριον εἶμι καίω ἀποστρέφω τίνω θυμός σύ ἵημι εἶμι,convo nos deus salutus noster et avo ira tuus ab nos,convo nos deus iesus noster et solo ira tuus adverdo nos
1395,85,6,לעולם תאנף בן נמשך אף לדר דר,μή ἐίω τίνω αιών οργίνω εἶμι ἠμί διατίνω τημ οργή σύ ἕπομαι γενεά ἐίω γενεά,numquis in aeternus irascor nos aut extendo ira tuus ab generatio in generatio,nolo in aeternus irascor nos extendo ira tuus in generatio et generatio
1396,85,7,לא אני שב תחייה עם שימח בי,ὁ θεος σύω επιστρέφω ζώω ημας καίω ὁ λαός σύ ευφραίνω ἕπομαι σύ,deus tu converdo vivifico nos et plebs tuus laeto in tu,nonne tu reverto vivifico nos et populus tuus laeto in tu
1397,85,8,הראה יהוה חסד וישעך תתן לי,δείκνυμι εἶμι κυρίω τῷς ελεος σύ καίω τῷς σωτηριον σύ δωή εἶμι,ostendo nos dominus misericordia tuus et salutaris tuus do nos,ostendo nos dominus misericordia tuus et salutaris tuus do nos
1398,85,9,אשמע מה דיבר אל יהוה כי דיבר שלום אל עם אל חסיד אל שב לכסלה,ακούω τις λάσκω εἶμι εἶμι κυριος ὁ θεος οἴομαι λάσκω ειρηνός ἕπομαι τίνω λαός αὐτάω καίω ἕπομαι του ὅσιος αὐτάω καίω ἕπομαι του επιστρεφόντης πρόστημι αυτον καραίνω,audio quis loquor in ego dominus deus quoniam loquor pax in plebs suus et super sanctus suus et in is qui converto ad cor,audio quis loquor dominus deus loquor enim pax ad populus suus et ad sanctus suus ut non converto ad stultitia
1399,85,10,אך קרוב ליראיו ישע לשכן כבוד ארץ,πλήσκω εἴγω τίνω φοβέω αυτον τῷς σωτηριον αὐτάω τις κατασκηνόω δοκέω εἶμι τῆ γαίνω εἶμι,verumtamen prope timeo is salutaris ipse ut inhabito gloria in terra noster,verumtamen prope sum hic qui timeo is salutaris is ut habito gloria in terra noster
1400,85,11,חסד אמת נפגש צדק שלום נשקו,ελεος καίω αλῆθεια συνάντομαι δικαιοσυνής καίω ειρηνη καταφιλέω,misericordia et veritas obviaceo sui iustitia et pax osculo sum,misericordia et veritas occurro iustitia et pax deosculo sum
1401,85,12,אמת ארץ תצמח צדק שמיים נשקף,αλῆθεια ἵημι ὁ γης ἀνατέλλω καίω δικαιοσυνής ἵημι τις οὐρανός διακύπτω,veritas de terra orfero sum et iustitia de caelum prospiceo,veritas de terra orfero sum et iustitia de caelum prospiceo
