Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
"Arise, O God, judge the earth, for You shall inherit all the nations.","Arise, O God, judge the earth, for you shall inherit among all the nations.","Arise, O God, judge the earth: for you shall inherit among all the nations.","Arise, O Lord, judge the earth, for You shall inherit all the nations."
"A song, a psalm of Asaph.","A song of a psalm, for Asaph.",A canticle psalm of Asaph.,A canticle psalm of Asaph.
"O God, do not keep silence; do not be still and do not be quiet, O God.","O God, who shall be likened to you? Do not be silent, and do not be still, O God.","O God, who shall be like unto you? Do not be silent, neither be still, O God.","O God, be not silent, do not be still and do not rest, O God."
"For behold, your enemies rage, and those who hate you have lifted up their head.","For behold, your enemies have made a clamor, and those who hate you have lifted up their head.","For behold, your enemies have made a noise, and those who hate you have lifted up the head.","For behold, your enemies have made a tumult, and those who hate you have lifted up their head."
"Against your people they devise cunning counsel, and they conspire against your hidden ones.","Against your people they have devised a crafty scheme, and they have plotted against your holy ones.","Against your people they have devised a malicious counsel, and have plotted against your holy ones.","Against your people they have dealt wickedly, and they have conspired against your hidden ones."
"They have said, ""Come, and let us cut them off from being a nation, and let the name of Israel be remembered no more.""","They said, ""Come, and let us utterly destroy them from being a nation, and let the name of Israel be remembered no more.""","They have said: Come, and let us destroy them from among the nations, and let the name of Israel be remembered no more.","They said: ""Come, and let us destroy them from being a nation, and let the name of Israel be remembered no more."""
For they have consulted together with one heart; against you they make a covenant:,For they have plotted together in one accord; against you they have made a covenant:,For they have plotted together with one mind; against you they have made a covenant:,For they have plotted together with one accord; they have made a covenant against you:
"The tents of Edom and the Ishmaelites, Moab and the Hagrites,","The tents of the Idumeans and the Ishmaelites, Moab and the Hagarenes,","The tabernacles of the Edomites and the Ishmaelites, Moab and the Hagarenes,","The tabernacles of Edom and the Ishmaelites, Moab and the Hagarenes,"
"Gebal and Ammon and Amalek, Philistia with the inhabitants of Tyre.","Gebal and Ammon and Amalek, and the foreigners with the inhabitants of Tyre.","Gebal and Ammon and Amalek, the foreigners with the inhabitants of Tyre.","Gebal and Ammon and Amalek, Philistia with the inhabitants of Tyre."
Assyria also has joined with them; they have been an arm to the children of Lot. Selah.,And indeed Assyria also came along with them; they became a help to the sons of Lot. Selah.,For indeed Assyria has come with them; they have become a help to the children of Lot. Selah.,Assyria also has joined with them; they have become the arm of the children of Lot forever.
"Do to them as to Midian, as to Sisera, as to Jabin at the brook of Kishon,","Do to them as to Midian and to Sisera, as to Jabin at the torrent of Kishon.","Do unto them as unto Midian and Sisera, as unto Jabin at the torrent of Kishon.","Do to them as to Midian and Sisera, as to Jabin at the brook of Kishon."
who were destroyed at En-dor; they became as dung for the ground.,They were utterly destroyed at En-dor; they became as dung for the earth.,They perished at Endor; they became as dung for the earth.,They were destroyed at Endor; they became as dung for the earth.
"Make their nobles like Oreb and like Zeeb, and like Zebah and like Zalmunna all their princes,","Make their rulers like Oreb and Zeeb, and Zebee and Salmana, all their rulers,","Make their princes like Oreb and Zeeb, and Zebah and Zalmunna, all their princes,","Make their leaders like Oreb and Zeeb, and Zebah and Zalmunna, all their princes,"
"who said, ""Let us take possession for ourselves of the pastures of God.""","who said, ""Let us take for ourselves the sanctuary of God as an inheritance.""",who said: Let us possess for ourselves the sanctuary of God as an inheritance.,"who said: ""Let us possess for ourselves the beauty of God."""
"O my God, make them like the whirling dust, like chaff before the wind.","O my God, make them like a wheel, like stubble before the face of the wind.","My God, make them like a wheel, like stubble before the face of the wind.","My God, make them like a wheel, like stubble before the face of the wind."
"As fire burns the forest, and as the flame sets the mountains ablaze,","As fire that shall burn through a forest, as a flame that shall consume mountains,","As a fire that burns the forest, as a flame that burns the mountains,","As fire burns a forest, and as a flame devours the mountains,"
"so pursue them with your tempest, and terrify them with your storm.","so shall you pursue them with your tempest, and in your wrath you shall trouble them.","so shall you pursue them in your tempest, and in your wrath you shall trouble them.","so pursue them with your tempest, and trouble them in your whirlwind."
"Fill their faces with shame, that they may seek your name, O LORD.","Fill their faces with dishonor, and they shall seek your name, O Lord.","Fill their faces with shame, and they shall seek your name, O Lord.","Fill their faces with shame, and they shall seek your name, O Lord."
Let them be ashamed and dismayed forever; let them be confounded and perish.,"Let them be ashamed and troubled forever and ever, and let them be confounded and perish.","Let them be ashamed and troubled forever and ever, and let them be confounded and perish.","Let them be confounded and troubled forever, and let them be ashamed and perish."
"And let them know that you alone, whose name is the LORD, are the Most High over all the earth.",And let them know that your name is Lord; you alone are the Most High over all the earth.,And let them know that your name is the Lord; you alone are the Most High over all the earth.,And let them know that your name is the Lord; you alone are the Most High over all the earth.
"For the choirmaster, upon the Gittith; a psalm of the sons of Korah.","For the end, concerning the winepresses; for the sons of Korah, a psalm.","Unto the end, for the winepresses, a psalm for the sons of Korah.","To the victor, for the winepress, of the sons of Korah, a song."
"How lovely are your dwelling places, O LORD of hosts!","How beloved are your dwelling places, O Lord of hosts!","How lovely are your tabernacles, O Lord of hosts!","How lovely are your tabernacles, O Lord of hosts!"
"My soul longs, yea, even faints for the courts of the LORD; my heart and my flesh cry out to the living God.",My soul longs and faints for the courts of the Lord; my heart and my flesh rejoiced in the living God.,My soul longs and faints for the courts of the Lord; my heart and my flesh have rejoiced in the living God.,My soul longs and faints for the courts of the Lord; my heart and my flesh shall praise the living God.
"Even the sparrow has found a house, and the swallow a nest for herself, where she may lay her young — your altars, O LORD of hosts, my King and my God.","For even the sparrow has found herself a house, and the turtledove a nest for herself, where she may lay her young—your altars, O Lord of hosts, my King and my God.","For even the sparrow has found herself a home, and the turtledove a nest for herself, where she may lay her young—your altars, O Lord of hosts, my King and my God.","Indeed, the bird has found a home, and the sparrow a nest for herself, where she may lay her young—your altars, O Lord of hosts, my King and my God."
Blessed are those who dwell in your house; they will ever praise you. Selah.,Blessed are those who dwell in your house; unto the ages of ages they shall praise you. Selah.,Blessed are they who dwell in your house; they shall praise you forever and ever. Selah.,Blessed are they who dwell in your house; they shall praise you forever still.
"Blessed is the man whose strength is in you, in whose heart are the highways.","Blessed is the man whose help is from you, O Lord; he has set ascents in his heart.",Blessed is the man whose help is from you; he has arranged ascents in his heart.,Blessed is the man whose strength is in you; paths are in his heart.
"Passing through the valley of Baca, they make it a place of springs; indeed, the early rain covers it with blessings.","In the valley of weeping, to the place which he has set; for indeed the lawgiver shall give blessings.","In the valley of tears, in the place which he has set; for the lawgiver shall give blessings.","Passing through the valley of weeping, they shall make it a fountain; indeed, the teacher shall be clothed with blessing."
They go from strength to strength; each one appears before God in Zion.,They shall go from strength to strength; the God of gods shall be seen in Zion.,They shall go from strength to strength; the God of gods shall be seen in Zion.,They shall go from strength to strength; they shall appear before God in Zion.
"O LORD God of hosts, hear my prayer; give ear, O God of Jacob. Selah.","O Lord, the God of hosts, hear my prayer; give ear, O God of Jacob. Selah.","O Lord God of hosts, hear my prayer; give ear, O God of Jacob. Selah.","O Lord God of hosts, hear my prayer; listen, O God of Jacob, always."
"Behold our shield, O God, and look upon the face of your anointed one.","O God, our defender, behold, and look upon the face of your anointed one.","O God, our protector, look upon us, and regard the face of your anointed.","Behold our shield, O God, and look upon the face of your anointed one."
For a day in your courts is better than a thousand; I would rather stand at the threshold of the house of my God than dwell in the tents of wickedness.,For one day in your courts is better than thousands; I chose to be cast aside in the house of God rather than to dwell in the tents of sinners.,"For one day in your courts is better than a thousand; I have chosen to be cast aside in the house of my God, rather than to dwell in the tabernacles of sinners.",For better is one day in your courts than a thousand; I have chosen to be cast aside in the house of my God rather than to dwell in the tents of wickedness.
For the LORD God is a sun and a shield; the LORD gives grace and glory; no good thing does he withhold from those who walk in uprightness.,For the Lord God loves mercy and truth; the Lord shall give grace and glory; he shall not deprive of good things those who walk in innocence.,For God loves mercy and truth; the Lord will give grace and glory; he will not deprive of good things those who walk in innocence.,"For the Lord God is a sun and a shield; the Lord will give grace and glory, nor will he withhold good from those who walk in perfection."
"O LORD of hosts, blessed is the man who trusts in you.","O Lord of hosts, blessed is the man who hopes in you.","O Lord of hosts, blessed is the man who hopes in you.","O Lord of hosts, blessed is the man who trusts in you."
For the chief musician; of the sons of Korah; a psalm.,For the end; a psalm for the sons of Korah.,"Unto the end, a psalm for the sons of Korah.","To the victor; of the sons of Korah, a canticle."
"You showed favor, O LORD, to your land; you restored the captivity of Jacob.","You have been well pleased, O Lord, with your land; you have turned back the captivity of Jacob.","You have blessed, O Lord, your land; you have turned back the captivity of Jacob.","You have been pleased, O Lord, with your land; you have brought back the captivity of Jacob."
You forgave the iniquity of your people; you covered all their sin. Selah.,You have forgiven the lawless deeds of your people; you have covered all their sins. Interlude.,You have forgiven the iniquities of your people; you have covered all their sins. Diapsalma.,You have forgiven the iniquity of your people; you have covered all their iniquities forever.
You gathered all your wrath; you turned from the fierceness of your anger.,You have put an end to all your wrath; you have turned away from the anger of your fury.,You have mitigated all your wrath; you have turned away from the anger of your indignation.,You have restrained all your indignation; you have turned away from the wrath of your fury.
"Restore us, O God of our salvation, and put away your displeasure toward us.","Restore us, O God of our salvation, and turn away your fury from us.","Convert us, O God of our salvation, and turn away your anger from us.","Convert us, O God our salvation, and turn away your anger from us."
Will you be angry with us forever? Will you draw out your anger to generation after generation?,"Will you be angry with us forever, or will you extend your wrath from generation to generation?","Will you be angry with us forever, or will you extend your wrath from generation to generation?","Do not be angry with us forever, extending your wrath from generation to generation."
"Will you not again revive us, that your people may rejoice in you?","O God, you will turn and give us life, and your people will rejoice in you.","O God, you will turn and give us life, and your people will rejoice in you.","Will you not, turning again, give us life, and your people shall rejoice in you?"
"Show us, O LORD, your steadfast love, and grant us your salvation.","Show us, O Lord, your mercy, and grant us your salvation.","Show us, O Lord, your mercy, and grant us your salvation.","Show us, O Lord, your mercy, and grant us your salvation."
"I will hear what God the LORD will speak, for he will speak peace to his people and to his faithful ones, and let them not turn back to folly.","I will hear what the Lord God will speak in me, for he will speak peace to his people, and to his holy ones, and to those who turn their heart toward him.","I will hear what the Lord God speaks in me, for he will speak peace unto his people, and upon his holy ones, and unto those who turn to the heart.","I will hear what the Lord God will speak, for he will speak peace to his people and to his saints, that they may not turn back to foolishness."
"Surely his salvation is near to those who fear him, that glory may dwell in our land.","Surely his salvation is near to those who fear him, so that glory may dwell in our land.","Surely his salvation is near to those who fear him, that glory may dwell in our land.","Surely his salvation is near to those who fear him, that glory may dwell in our land."
Steadfast love and truth have met together; righteousness and peace have kissed each other.,Mercy and truth have met together; righteousness and peace have kissed each other.,Mercy and truth have met each other; justice and peace have kissed.,Mercy and truth have met together; justice and peace have kissed.
"Truth springs up from the earth, and righteousness looks down from heaven.","Truth has sprung up from the earth, and righteousness has looked down from heaven.","Truth has sprung from the earth, and justice has looked down from heaven.","Truth has sprung from the earth, and justice has looked down from heaven."
"Indeed, the LORD will give what is good, and our land will yield its increase.","For indeed the Lord will give goodness, and our land will yield its fruit.","For indeed the Lord will give goodness, and our land will yield its fruit.","Indeed the Lord will give what is good, and our land will yield its fruit."
Righteousness will go before him and will make his footsteps a way.,"Righteousness will go before him, and he will set his steps on the way.","Justice will walk before him, and will set his steps upon the way.","Justice shall walk before him, and shall set his steps upon the way."
"A prayer of David. Incline, O LORD, Your ear; answer me, for I am poor and needy.","A prayer of David. Incline your ear, O Lord, and hear me, for I am poor and needy.","A prayer of David himself. Incline your ear, O Lord, and hear me, for I am needy and poor.","A prayer of David. Incline your ear, O Lord, hear me, for I am needy and poor."
"Preserve my soul, for I am godly; save Your servant, O You my God, who trusts in You.","Guard my soul, for I am holy; save your servant, O my God, the one who hopes in you.","Preserve my soul, for I am holy; save your servant, O my God, who hopes in you.","Guard my soul, for I am holy; save your servant, you my God, who trusts in you."
"Be gracious to me, O Lord, for to You I cry all the day.","Have mercy on me, O Lord, for to you I will cry all the day long.","Have mercy on me, O Lord, for I will cry to you all the day long.","Have mercy on me, O Lord, for I will cry out to you all the day long."
"Gladden the soul of Your servant, for to You, O Lord, I lift up my soul.","Gladden the soul of your servant, for to you, O Lord, I have lifted up my soul.","Gladden the soul of your servant, for to you, O Lord, I have lifted up my soul.","Gladden the soul of your servant, for to you I lift up my soul."
"For You, O Lord, are good and forgiving, and abundant in lovingkindness to all who call upon You.","For you, O Lord, are kind and gentle, and abundant in mercy to all who call upon you.","For you, O Lord, are sweet and gentle, and of great mercy to all who call upon you.","For you, O Lord, are good and forgiving, and abundant in mercy to all who call upon you."
"Give ear, O LORD, to my prayer, and attend to the voice of my supplications.","Give ear, O Lord, to my prayer, and attend to the voice of my supplication.","Receive with your ears, O Lord, my prayer, and attend to the voice of my supplication.","Hear, O Lord, my prayer, and listen to the voice of my supplications."
"In the day of my trouble I will call upon You, for You will answer me.","In the day of my affliction I cried out to you, for you heard me.","In the day of my tribulation I cried to you, for you heard me.","In the day of my tribulation I will call upon you, for you will hear me."
"There is none like You among the gods, O Lord, and there are none like Your works.","There is none like you among the gods, O Lord, and there is nothing according to your works.","There is none like you among the gods, O Lord, and there is nothing according to your works.","There is none like you among the gods, O Lord, nor is there anything equal to your works."
"All nations whom You have made shall come and worship before You, O Lord, and shall glorify Your name.","All the nations, as many as you have made, shall come and worship before you, O Lord, and shall glorify your name.","All the nations, whatsoever you have made, shall come and worship before you, O Lord, and shall glorify your name.","All the nations which you have made shall come and worship before you, O Lord, and shall glorify your name."
For You are great and do wondrous things; You alone are God.,"For you are great and do wondrous things; you alone are God, the great one.",For you are great and do wondrous things; you alone are God.,For you are great and do wondrous things; you alone are God.
"Teach me, O LORD, Your way; I will walk in Your truth; unite my heart to fear Your name.","Guide me, O Lord, in your way, and I will walk in your truth; let my heart rejoice to fear your name.","Lead me, O Lord, in your way, and I will walk in your truth; let my heart rejoice that it may fear your name.","Teach me, O Lord, your way, that I may walk in your truth; make my heart undivided, that it may fear your name."
"I will praise You, O Lord my God, with all my heart, and I will glorify Your name forevermore.","I will praise you, O Lord my God, with all my heart, and I will glorify your name forever.","I will praise you, O Lord my God, with my whole heart, and I will glorify your name forever.","I will praise you, O Lord my God, with my whole heart, and I will glorify your name forever."
"For Your lovingkindness toward me is great, and You have delivered my soul from the depths of Sheol.","For your mercy is great upon me, and you have delivered my soul from the lowest depths of Hades.","For your mercy is great upon me, and you have delivered my soul from the lowest hell.","For your mercy is great upon me, and you have delivered my soul from the lowest depths of hell."
"O God, the arrogant have risen against me, and a company of ruthless men have sought my life, and they have not set You before them.","O God, transgressors have risen up against me, and an assembly of mighty ones have sought my soul, and they have not set you before them.","O God, the wicked have risen up against me, and the assembly of the mighty have sought my soul, and they have not set you before their sight.","O God, the proud have risen up against me, and an assembly of violent men have sought my soul, and they have not set you before their sight."
"But You, O Lord, are a God merciful and gracious, slow to anger and abundant in lovingkindness and truth.","And you, O Lord God, are compassionate and merciful, slow to anger and abundant in mercy and true.","And you, O Lord God, compassionate and merciful, patient and of great mercy and true,","But you, O Lord God, are merciful and gracious, patient and of great mercy and true."
"Turn to me and be gracious to me; give Your strength to Your servant, and save the son of Your handmaid.","Look upon me and have mercy on me; give your strength to your servant, and save the son of your handmaid.","look upon me and have mercy on me; give your strength to your servant, and save the son of your handmaid.","Look upon me and have mercy on me; give your strength to your servant, and save the son of your handmaid."
"Show me a sign for good, that those who hate me may see and be ashamed, for You, O LORD, have helped me and comforted me.","Show me a sign for good, and let those who hate me see it and be put to shame, for you, O Lord, have helped me and comforted me.","Show me a sign for good, and let those who hate me see it and be confounded, for you, O Lord, have helped me and comforted me.","Show me a sign of your goodness, and let those who hate me see it and be confounded, for you, O Lord, have helped me and consoled me."
"Of the sons of Korah, a psalm, a song. His foundation is in the holy mountains.","For the sons of Korah, a psalm of song. His foundations are in the holy mountains.",A psalm of a canticle for the sons of Korah. His foundations are in the holy mountains.,A psalm of a canticle for the sons of Korah. His foundations are in the holy mountains.
The LORD loves the gates of Zion more than all the dwellings of Jacob.,The Lord loves the gates of Zion more than all the dwellings of Jacob.,The Lord loves the gates of Zion above all the tabernacles of Jacob.,The Lord loves the gates of Zion above all the tabernacles of Jacob.
"Glorious things are spoken of you, O city of God. Selah.","Glorious things have been spoken concerning you, O city of God. Selah.","Glorious things are said of you, O city of God. Diapsalma.","Glorious things are said of you forever, O city of God."
"I will make mention of Rahab and Babylon among those who know me; behold Philistia and Tyre, with Cush — this one was born there.","I will make mention of Rahab and Babylon to those who know me; and behold, the Philistines and Tyre and the people of the Ethiopians—these were born there.","I will be mindful of Rahab and Babylon among those who know me: behold the foreigners, and Tyre, and the people of the Ethiopians, these were there.",I will remember the proud ones and Babylon among those who know me: behold Philistia and Tyre with Ethiopia — this one was born there.
"And of Zion it shall be said, ""Man after man was born in her,"" and the Most High himself shall establish her.","A man shall say ""Mother"" to Zion, and a man was born in her, and the Most High himself founded her.","Shall it not be said of Zion, ""This man and that man was born in her,"" and the Most High himself has founded her?","But of Zion it shall be said: man after man was born in her, and the Most High himself has founded her."
"The LORD shall count, when he records the peoples, ""This one was born there."" Selah.",The Lord shall recount in the writing of peoples and of rulers those who were born in her. Selah.,The Lord shall tell in the writing of the peoples and of the princes of those who were in her. Diapsalma.,The Lord shall count when he writes up the peoples: this one was born in her forever.
And singers as well as dancers — all my springs are in you.,The dwelling of all who rejoice is in you.,"As of all those rejoicing, their dwelling is in you.",And they shall sing as in choruses: all my springs are in you.
"A song, a psalm of the sons of Korah; for the choirmaster, upon Mahalath Leannoth; a Maskil of Heman the Ezrahite.","An ode of a psalm for the sons of Korah, to the end, concerning Maeleth, for responding; of understanding, of Heman the Israelite.","A canticle of a psalm for the sons of Korah, unto the end, for Maeleth, to respond: an instruction of Heman the Ezrahite.","A song of a poem of the sons of Korah, for the choirmaster, for the chorus, for singing; an instruction of Heman the Ezrahite."
"O LORD, God of my salvation, by day I have cried out, in the night before You.","O Lord, the God of my salvation, by day I cried out and in the night before you.","O Lord, God of my salvation, by day I have cried out and by night before you.","O Lord God of my salvation, by day I have cried out, in the night before you."
Let my prayer come before You; incline Your ear to my cry.,"Let my prayer come before you; incline your ear to my supplication, O Lord.",Let my prayer enter into your sight; incline your ear to my supplication.,Let my prayer come before you; incline your ear to my supplication.
"For my soul is full of troubles, and my life draws near to Sheol.","For my soul is filled with troubles, and my life has drawn near to Hades.","For my soul is filled with evils, and my life has drawn near to hell.","For my soul is filled with troubles, and my life has descended to the grave."
I am counted with those who go down to the pit; I have become like a man without strength.,"I was reckoned among those who go down into the pit; I became as a man without help, free among the dead.",I have been reckoned with those who descend into the pit; I have become like a man without help.,I have been reckoned with those descending into the pit; I have become as a man without strength.
"Among the dead, set free, like the slain who lie in the grave, whom You remember no more, and they are cut off from Your hand.","Like the wounded cast aside, sleeping in the grave, whom you remembered no more, and they were thrust away from your hand.","Free among the dead, like the wounded sleeping in the sepulchres, of whom you are no longer mindful, and they have been cast off from your hand.","Free among the dead, like the slain and those sleeping in the tomb, whom you remember no more, and who have been cut off from your hand."
"You have put me in the lowest pit, in dark places, in the depths.","They placed me in the lowest pit, in dark places and in the shadow of death.","They have laid me in the lower pit, in dark places and in the shadow of death.","You have placed me in the lowest pit, in darkness, in the depths."
"Your wrath lies heavy upon me, and You have afflicted me with all Your waves. Selah.","Your wrath was fixed upon me, and all your waves you brought upon me. Selah.","Your fury is confirmed upon me, and all your waves you have brought in upon me. Selah.","Your fury has been confirmed upon me, and with all your waves you have afflicted me continually."
You have removed my acquaintances far from me; You have made me an abomination to them; I am shut in and cannot go out.,You have put my acquaintances far from me; they have made me an abomination to themselves. I was delivered over and could not go out.,"You have put my acquaintances far from me; they have made me an abomination to themselves. I have been delivered up, and I did not come forth.",You have put my acquaintances far from me; you have made me an abomination to them; I am shut in and cannot go out.
"My eye wastes away from affliction; I call upon You, O LORD, every day; I spread out my hands to You.","My eyes grew weak from affliction; I cried out to you, O Lord, all the day long; I spread out my hands to you.","My eyes have languished from affliction. I have cried to you, O Lord, all the day; I have stretched out my hands to you.","My eye has grown weak from affliction; I have called upon you, O Lord, all the day; I have stretched out my hands to you."
Will You work wonders for the dead? Shall the shades rise up and praise You? Selah.,"Will you work wonders for the dead? Or will healers raise them up, and they shall give thanks to you?","Will you work wonders for the dead? Or shall physicians raise them up, and they shall confess to you? Selah.",Will you work wonders for the dead? Or shall the giants rise and confess to you forever?
"Shall Your lovingkindness be declared in the grave, Your faithfulness in Abaddon?","Will anyone recount your mercy in the grave, and your truth in destruction?","Shall anyone in the sepulchre recount your mercy, and your truth in destruction?","Shall your mercy be declared in the tomb, and your truth in destruction?"
"Shall Your wonders be known in the darkness, and Your righteousness in the land of forgetfulness?","Will your wonders be known in the darkness, and your righteousness in a land of forgetfulness?","Shall your wonders be known in the darkness, and your justice in the land of oblivion?","Shall your wonders be known in the darkness, and your justice in the land that has been given over to oblivion?"
"But I, unto You, O LORD, I have cried out, and in the morning my prayer comes before You.","But I have cried out to you, O Lord, and in the morning my prayer shall come before you.","And I have cried to you, O Lord, and in the morning my prayer shall come before you.","But I have cried out to you, O Lord, and in the morning my prayer shall come before you."
"Why, O LORD, do You cast off my soul? Why do You hide Your face from me?","Why, O Lord, do you reject my soul? Why do you turn your face away from me?","Why, O Lord, do you reject my prayer? Why do you turn your face from me?","Why, O Lord, do you cast away my soul? Why do you hide your face from me?"
"I am afflicted and near death from my youth; I have borne Your terrors, I am in despair.","I am poor and in labors from my youth; and having been exalted, I was humbled and brought to despair.","I am poor and in labors from my youth; but having been exalted, I was humbled and troubled.","I am poor and full of sorrows; from my youth I have borne your fury, and I am troubled."
Your fierce wrath has passed over me; Your terrors have destroyed me.,"Your wraths passed over me, and your terrors utterly troubled me.","Your wraths have passed over me, and your terrors have disturbed me.",Your wraths have passed over me; your terrors have crushed me.
They surround me like water all the day long; they close in upon me together.,They surrounded me like water all the day long; they encompassed me altogether.,They have surrounded me like water all the day long; they have encompassed me together.,They have surrounded me like waters all the day; they have enclosed me together.
You have removed from me lover and friend; my acquaintances are darkness.,"You have put far from me friend and neighbor, and my acquaintances, because of misery.","You have put far from me friend and neighbor, and my acquaintances from my misery.",You have put far from me friend and companion; my acquaintances you have taken away.
A Maskil of Ethan the Ezrahite.,A wisdom-psalm of Ethan the Israelite.,The understanding of Ethan the Ezrahite.,Of the instruction of Ethan the Ezrahite.
The mercies of the LORD I will sing forever; to generation after generation I will make known your faithfulness with my mouth.,"Your mercies, O Lord, I will sing forever; to generation and generation I will proclaim your truth with my mouth.",I will sing of the mercies of the Lord forever; to generation and generation I will declare your truth with my mouth.,I will sing of the mercies of the Lord forever; from generation to generation I will proclaim your truth with my mouth.
"For I have said, ""Forever shall mercy be built up; the heavens—you establish your faithfulness in them.""","For you said: ""Mercy shall be built up forever; in the heavens your truth shall be established.""",For you have said: Mercy shall be built up forever; in the heavens your truth shall be established in them.,"For you have said: mercy shall be built up forever; you will establish the heavens, and your truth in them."
"""I have cut a covenant with my chosen one; I have sworn to David my servant:","""I made a covenant with my chosen ones; I swore to David my servant:",I have made a covenant with my chosen ones; I have sworn to David my servant:,I have struck a covenant with my chosen one; I have sworn to David my servant:
"Forever I will establish your seed, and I will build up your throne to generation after generation."" Selah.","Forever I will establish your seed, and I will build up your throne to generation and generation."" Selah.","Forever I will prepare your seed, and I will build up your throne to generation and generation. Selah.","Forever I will establish your seed, and I will build up your throne from generation to generation always."
"And the heavens shall praise your wonder, O LORD, your faithfulness also in the assembly of the holy ones.","The heavens shall confess your wonders, O Lord, and your truth in the assembly of the holy ones.","The heavens shall confess your wonders, O Lord, and your truth in the assembly of the saints.","The heavens shall confess your wonders, O Lord, and your truth in the assembly of the saints."
For who in the sky can be compared to the LORD? Who among the sons of the mighty is like the LORD?,"For who in the clouds shall be equal to the Lord, and who shall be likened to the Lord among the sons of God?",For who in the clouds shall be equal to the Lord? Who shall be like the Lord among the sons of God?,For who in the clouds shall be equal to the Lord? Who among the sons of God shall be likened to the Lord?
"God is greatly feared in the council of the holy ones, and awesome above all who surround him.","God is glorified in the council of the holy ones, great and fearful above all those around him.","God, who is glorified in the council of the saints, is great and terrible above all who are around him.","God is glorious in the secret council of the saints exceedingly, and terrible above all who are around him."
"O LORD, God of hosts, who is like you, mighty LORD? And your faithfulness surrounds you.","O Lord, God of hosts, who is like you? You are mighty, O Lord, and your truth is round about you.","O Lord God of hosts, who is like you? You are mighty, O Lord, and your truth is round about you.","O Lord God of hosts, who is like you? Most mighty Lord, and your truth is round about you."
"You rule over the swelling of the sea; when its waves rise, you still them.","You rule the power of the sea, and the surging of its waves you calm.",You rule the power of the sea; and the motion of its waves you calm.,"You rule the pride of the sea, and you suppress the surging of its waves."
You crushed Rahab like one slain; with the arm of your strength you scattered your enemies.,"You humbled the proud one as one who is wounded, and with the arm of your power you scattered your enemies.",You have humbled the proud one as one that is wounded; with the arm of your strength you have scattered your enemies.,You have crushed the proud one as one who is wounded; with your strong arm you have scattered your enemies.
"Yours are the heavens, yours also is the earth; the world and its fullness—you founded them.","Yours are the heavens, and yours is the earth; the inhabited world and its fullness, you founded them.","Yours are the heavens, and yours is the earth; the world and its fullness you have founded.",Yours are the heavens and yours is the earth; the world and its fullness you have founded.
The north and the south—you created them; Tabor and Hermon rejoice in your name.,"The north and the seas, you created them; Tabor and Hermon shall rejoice in your name.",The north and the sea you have created; Tabor and Hermon shall rejoice in your name.,The north and the south you have created; Tabor and Hermon shall praise your name.
"Yours is an arm with might; strong is your hand, exalted is your right hand.","Yours is the arm with sovereignty; let your hand be strengthened, let your right hand be exalted.",Yours is the arm with power; let your hand be strengthened and your right hand be exalted.,"Yours is the arm with might; let your hand be strengthened, let your right hand be exalted."
Righteousness and justice are the foundation of your throne; mercy and truth go before your face.,Righteousness and judgment are the foundation of your throne; mercy and truth shall go before your face.,Justice and judgment are the foundation of your throne; mercy and truth shall go before your face.,Justice and judgment are the foundation of your throne; mercy and truth shall go before your face.
"Blessed are the people who know the joyful shout; O LORD, in the light of your face they walk.","Blessed is the people that knows the shout of praise; O Lord, in the light of your face they shall walk.","Blessed is the people that knows jubilation. O Lord, in the light of your countenance they shall walk,","Blessed is the people that knows the joyful shout. O Lord, in the light of your countenance they shall walk."
"In your name they rejoice all the day, and in your righteousness they are exalted.","And in your name they shall rejoice all the day, and in your righteousness they shall be exalted.","and in your name they shall rejoice all the day, and in your justice they shall be exalted.","In your name they shall rejoice all the day, and in your justice they shall be exalted."
"For you are the glory of their strength, and by your favor our horn is exalted.","For you are the boast of their strength, and in your good pleasure our horn shall be exalted.","For you are the glory of their strength, and in your good pleasure our horn shall be exalted.","For you are the glory of their strength, and in your mercy you will lift up our horn."
"For to the LORD belongs our shield, and to the Holy One of Israel our king.","For our help belongs to the Lord, and to the Holy One of Israel, our king.","For our protection belongs to the Lord, and to the Holy One of Israel, our king.","For from the Lord is our protection, and from the Holy One of Israel, our king."
"Then you spoke in a vision to your faithful ones and said, ""I have set help upon a mighty one; I have exalted a chosen one from among the people.","Then you spoke in a vision to your holy ones and said: ""I have placed help upon a mighty one; I have exalted a chosen one out of my people.",Then you spoke in a vision to your saints and said: I have laid help upon one who is mighty; I have exalted one chosen from my people.,Then you spoke in a vision to your saints and said: I have placed help upon one who is mighty; I have exalted a chosen one from the people.
"I have found David my servant; with my holy oil I have anointed him,",I have found David my servant; with my holy oil I have anointed him.,I have found David my servant; with my holy oil I have anointed him.,I have found David my servant; with my holy oil I have anointed him.
with whom my hand shall be established; my arm also shall strengthen him.,"For my hand shall support him, and my arm shall strengthen him.","For my hand shall help him, and my arm shall strengthen him.","With whom my hand shall be firm, and my arm shall strengthen him."
"No enemy shall exact tribute from him, and no son of wickedness shall afflict him.","No enemy shall prevail against him, and a son of lawlessness shall not proceed to afflict him.","The enemy shall have no advantage over him, nor shall the son of iniquity succeed in harming him.","The enemy shall not deceive him, nor shall the son of iniquity afflict him."
